date,mktrf,rf,mktret
2023-04-04,-0.0072,0.0002,-0.007
2023-04-05,-0.0039,0.0002,-0.0036999999999999997
2023-04-06,0.0034,0.0002,0.0036
2023-04-10,0.002,0.0002,0.0022
2023-04-11,0.0006,0.0002,0.0007999999999999999
2023-04-12,-0.0051,0.0002,-0.004900000000000001
2023-04-13,0.0139,0.0002,0.0141
2023-04-14,-0.0023,0.0002,-0.0021
2023-04-17,0.0033,0.0002,0.0035
2023-04-18,0.0004,0.0002,0.0006000000000000001
2023-04-19,-0.0004,0.0002,-0.0002
2023-04-20,-0.0061,0.0002,-0.005900000000000001
2023-04-21,0.0008,0.0002,0.001
2023-04-24,0.0,0.0002,0.0002
2023-04-25,-0.0176,0.0002,-0.017400000000000002
2023-04-26,-0.0041,0.0002,-0.0039000000000000003
2023-04-27,0.0185,0.0002,0.018699999999999998
2023-04-28,0.0078,0.0002,0.008
2023-05-01,-0.0002,0.0002,0.0
2023-05-02,-0.0127,0.0002,-0.012499999999999999
2023-05-03,-0.0057,0.0002,-0.0055000000000000005
2023-05-04,-0.0078,0.0002,-0.0076
2023-05-05,0.0191,0.0002,0.019299999999999998
2023-05-08,0.0007,0.0002,0.0009
2023-05-09,-0.0043,0.0002,-0.0041
2023-05-10,0.0043,0.0002,0.0045
2023-05-11,-0.002,0.0002,-0.0018
2023-05-12,-0.0022,0.0002,-0.002
2023-05-15,0.0046,0.0002,0.0048
2023-05-16,-0.0072,0.0002,-0.007
2023-05-17,0.0131,0.0002,0.013300000000000001
2023-05-18,0.0099,0.0002,0.010100000000000001
2023-05-19,-0.0026,0.0002,-0.0024
2023-05-22,0.0017,0.0002,0.0019
2023-05-23,-0.011,0.0002,-0.010799999999999999
2023-05-24,-0.0072,0.0002,-0.007
2023-05-25,0.0065,0.0002,0.006699999999999999
2023-05-26,0.0132,0.0002,0.0134
2023-05-30,-0.0001,0.0002,0.0001
2023-05-31,-0.006,0.0002,-0.0058000000000000005
2023-06-01,0.0102,0.0002,0.010400000000000001
2023-06-02,0.0162,0.0002,0.016399999999999998
2023-06-05,-0.0026,0.0002,-0.0024
2023-06-06,0.0046,0.0002,0.0048
2023-06-07,-0.0036,0.0002,-0.0034
2023-06-08,0.0059,0.0002,0.0060999999999999995
2023-06-09,0.0003,0.0002,0.0005
2023-06-12,0.0094,0.0002,0.009600000000000001
2023-06-13,0.0074,0.0002,0.0076
2023-06-14,-0.0003,0.0002,-9.999999999999996e-05
2023-06-15,0.0122,0.0002,0.012400000000000001
2023-06-16,-0.0045,0.0002,-0.0043
2023-06-20,-0.0048,0.0002,-0.0046
2023-06-21,-0.0056,0.0002,-0.0054
2023-06-22,0.0032,0.0002,0.0034000000000000002
2023-06-23,-0.0084,0.0002,-0.008199999999999999
2023-06-26,-0.0048,0.0002,-0.0046
2023-06-27,0.0121,0.0002,0.0123
2023-06-28,0.0003,0.0002,0.0005
2023-06-29,0.0044,0.0002,0.0046
2023-06-30,0.0114,0.0002,0.011600000000000001
2023-07-03,0.0015,0.0002,0.0017000000000000001
2023-07-05,-0.0029,0.0002,-0.0026999999999999997
2023-07-06,-0.0094,0.0002,-0.0092
2023-07-07,-0.0013,0.0002,-0.0010999999999999998
2023-07-10,0.0036,0.0002,0.0038
2023-07-11,0.0076,0.0002,0.0078
2023-07-12,0.0074,0.0002,0.0076
2023-07-13,0.009,0.0002,0.0092
2023-07-14,-0.0025,0.0002,-0.0023
2023-07-17,0.0048,0.0002,0.004999999999999999
2023-07-18,0.0078,0.0002,0.008
2023-07-19,0.0025,0.0002,0.0027
2023-07-20,-0.0081,0.0002,-0.007899999999999999
2023-07-21,-0.0005,0.0002,-0.00030000000000000003
2023-07-24,0.0031,0.0002,0.0033
2023-07-25,0.0025,0.0002,0.0027
2023-07-26,0.0001,0.0002,0.00030000000000000003
2023-07-27,-0.0074,0.0002,-0.007200000000000001
2023-07-28,0.0113,0.0002,0.0115
2023-07-31,0.0025,0.0002,0.0027
2023-08-01,-0.0034,0.0002,-0.0031999999999999997
2023-08-02,-0.0149,0.0002,-0.0147
2023-08-03,-0.0019,0.0002,-0.0017
2023-08-04,-0.0048,0.0002,-0.0046
2023-08-07,0.0077,0.0002,0.0079
2023-08-08,-0.0047,0.0002,-0.0045000000000000005
2023-08-09,-0.0078,0.0002,-0.0076
2023-08-10,0.0001,0.0002,0.00030000000000000003
2023-08-11,-0.0011,0.0002,-0.0009000000000000001
2023-08-14,0.0051,0.0002,0.0053
2023-08-15,-0.0118,0.0002,-0.0116
2023-08-16,-0.0081,0.0002,-0.007899999999999999
2023-08-17,-0.0087,0.0002,-0.008499999999999999
2023-08-18,0.0004,0.0002,0.0006000000000000001
2023-08-21,0.0064,0.0002,0.0066
2023-08-22,-0.0032,0.0002,-0.003
2023-08-23,0.0108,0.0002,0.011000000000000001
