state,company_raw,notice_date,n_employees,city,layoff_type,source
CA,"Transamerican Auto Parts (TAP) Manufacturing LLC
and TAP Worldwide LLC",2022-09-08,73.0,,Closure Permanent,ca_2022_23.pdf
CA,"Direct Delivery Service, Inc.",2022-09-08,49.0,,Closure Permanent,ca_2022_23.pdf
CA,"Direct Delivery Service, Inc.",2022-09-08,49.0,,Closure Permanent,ca_2022_23.pdf
CA,"Direct Delivery Service, Inc.",2022-09-08,41.0,,Closure Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,2.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,2.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,5.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,2.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,4.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,4.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,3.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,8.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,2.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,3.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,USRA at ARC,2022-09-09,1.0,,Layoff Permanent,ca_2022_23.pdf
CA,AbbVie Inc.,2022-09-13,99.0,,Layoff Permanent,ca_2022_23.pdf
CA,Mouser Electronics,2022-09-13,10.0,,Closure Permanent,ca_2022_23.pdf
CA,"Marriott Resorts Hospitality Corporation and Marriott
Ownership Resorts, Inc.",2022-09-13,69.0,,Layoff Temporary,ca_2022_23.pdf
CA,"Brentwood Originals, Inc.",2022-09-14,113.0,,Closure Permanent,ca_2022_23.pdf
CA,Musco Family Olive Co.,2022-09-14,13.0,,Layoff Temporary,ca_2022_23.pdf
CA,"Genapsys, Inc.",2022-09-14,1.0,,Closure Permanent,ca_2022_23.pdf
CA,Twilio,2022-09-14,108.0,,Layoff Permanent,ca_2022_23.pdf
CA,"NBCUniversal Media, LLC and NBC West, LLC",2022-09-14,10.0,,Layoff Permanent,ca_2022_23.pdf
CA,"G&C Staffing, LLC",2022-09-16,66.0,,Layoff Permanent,ca_2022_23.pdf
CA,Amentum,2022-09-16,70.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Granular, Inc. wholly owned subsidiary of Corteva, Inc.",2022-09-19,57.0,,Closure Permanent,ca_2022_23.pdf
CA,Onsemi,2022-09-19,88.0,,Closure Permanent,ca_2022_23.pdf
CA,"Tremor International, LTD",2022-09-19,49.0,,Layoff Permanent,ca_2022_23.pdf
CA,Nordstrom,2022-09-20,79.0,,Closure Permanent,ca_2022_23.pdf
CA,"Gap, Inc.",2022-09-20,104.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Gap, Inc.",2022-09-20,7.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Dreyer's Grand Ice Cream, Inc.",2022-09-20,308.0,,Layoff Temporary,ca_2022_23.pdf
CA,Kitty Hawk Corporation Location 1,2022-09-21,18.0,,Closure Permanent,ca_2022_23.pdf
CA,Kitty Hawk Corporation Location 2,2022-09-21,69.0,,Closure Permanent,ca_2022_23.pdf
CA,Kitty Hawk Corporation Location 3,2022-09-21,11.0,,Closure Permanent,ca_2022_23.pdf
CA,Kitty Hawk Corporation Location 4,2022-09-21,2.0,,Closure Permanent,ca_2022_23.pdf
CA,"Dreyer's Grand Ice Cream, Inc.",2022-09-21,905.0,,Layoff Temporary,ca_2022_23.pdf
CA,Schneider Electric,2022-09-22,15.0,,Closure Permanent,ca_2022_23.pdf
CA,"Smithfield Distribution, LLC",2022-09-22,,,Closure Permanent,ca_2022_23.pdf
CA,"Smithfield Distribution, LLC",2022-09-22,121.0,,Closure Permanent,ca_2022_23.pdf
CA,Summit Funding Inc.,2022-09-23,72.0,,Layoff Permanent,ca_2022_23.pdf
CA,"WeDriveU, Inc.",2022-09-26,51.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Nutrition Corp, Inc. dba Fresh &lsquo;N Lean",2022-09-26,353.0,,Layoff Permanent,ca_2022_23.pdf
CA,"WeDriveU, Inc.",2022-09-26,46.0,,Layoff Permanent,ca_2022_23.pdf
CA,Hallcon Corporation,2022-09-26,63.0,,Layoff Permanent,ca_2022_23.pdf
CA,"Lucas Oil Products, Inc. with subsidiaries of Mav'rick
Entertainment Network, Inc.",2022-09-28,93.0,,Closure Permanent,ca_2022_23.pdf
CA,Albertson's Santa Fe Springs Pharmacy,2022-09-29,21.0,,Closure Permanent,ca_2022_23.pdf
