date,mktrf,rf,smb,hml,umd,mktret
2025-04-03,-0.0513,0.0002,-0.0162,-0.005,0.016,-0.0511
2025-04-04,-0.0592,0.0002,0.0201,-0.0026,-0.0034,-0.059000000000000004
2025-04-07,-0.0023,0.0002,-0.0057,-0.0022,0.0082,-0.0021
2025-04-08,-0.0167,0.0002,-0.0137,0.0095,0.0207,-0.0165
2025-04-09,0.0965,0.0002,0.0034,-0.03,-0.021,0.09670000000000001
2025-04-10,-0.0354,0.0002,-0.0091,-0.0014,0.0155,-0.0352
2025-04-11,0.0176,0.0002,-0.002,-0.0096,-0.0034,0.0178
2025-04-14,0.0079,0.0002,0.0011,0.0036,0.0047,0.008100000000000001
2025-04-15,-0.0014,0.0002,0.0017,0.0045,0.0138,-0.0012
2025-04-16,-0.0222,0.0002,0.0077,0.0129,-0.0027,-0.022000000000000002
2025-04-17,0.0022,0.0002,0.0028,0.0075,-0.0088,0.0024000000000000002
2025-04-21,-0.024,0.0002,0.0004,0.0067,-0.012,-0.0238
2025-04-22,0.0256,0.0002,0.0007,0.0025,0.0047,0.0258
2025-04-23,0.0175,0.0002,0.0019,-0.0065,0.0087,0.0177
2025-04-24,0.0214,0.0002,0.0036,-0.009,-0.0032,0.021599999999999998
2025-04-25,0.0064,0.0002,-0.0008,-0.0113,0.0046,0.0066
2025-04-28,0.0008,0.0002,0.0022,0.0013,0.0012,0.001
2025-04-29,0.0058,0.0002,0.0002,-0.0003,0.0057,0.005999999999999999
2025-04-30,0.0003,0.0002,-0.0073,-0.006,0.0013,0.0005
2025-05-01,0.0059,0.0002,0.0035,-0.0031,0.0059,0.0060999999999999995
