notice_date,company_raw,county,n_employees,layoff_type,city,source,state
2022-10-24,"Avanir Pharmaceuticals, Inc.",Orange County,109.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-23,UTC Restaurant Ventures LLC dba Great Maple,San Diego County,61.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-10-21,Jabil Inc.,San Joaquin County,83.0,Closure Temporary,,ca_2022_23.pdf,CA
2022-10-24,Jabil Inc.,Solano County,51.0,Closure Temporary,,ca_2022_23.pdf,CA
2022-10-25,Pennymac,Los Angeles County,20.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-25,Pennymac,Placer County,1.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-30,"CareFusion Resources, LLC, a subsidiary of Becton,
Dickinson and Company",San Diego County,26.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-09-30,"CareFusion Resources, LLC, a subsidiary of Becton,
Dickinson and Company",San Diego County,58.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-25,"Roth Staffing Companies, L.P. dba Ultimate Staffing
Services at FormFactor, Inc.",Alameda County,164.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-05,"TAP Manufacturing LLC and TAP Worldwide LLC dba 4
Wheel Parts",Los Angeles County,293.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-25,Pennymac,Ventura County,12.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-25,Pennymac,Ventura County,27.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-25,Pennymac,Ventura County,10.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-25,Terre du Soleil dba Auberge du Soleil,Napa County,206.0,Closure Temporary,,ca_2022_23.pdf,CA
2022-09-30,"Demetrix, Inc.",Alameda County,4.0,Layoff Permanent,,ca_2022_23.pdf,CA
2022-10-28,Selman Breitman LLP,Los Angeles County,81.0,Closure Permanent,,ca_2022_23.pdf,CA
2022-10-27,Scotts Temecula Operations LLC,Riverside County,15.0,Layoff Permanent,,ca_2022_23.pdf,CA
