state,company_raw,notice_date,n_employees,city,county,layoff_type,source
OR,Yelloh - Salem,2023-10-25,7.0,Salem,,Permanent closure,warn_or.json
OR,Yelloh - Tualitin,2023-10-25,11.0,Tualitin,,Permanent closure,warn_or.json
OR,Yelloh -  Central Point,2023-10-25,6.0,Central Point,,Permanent closure,warn_or.json
OR,Yelloh - Eugene,2023-10-25,8.0,Eugen,,Permanent closure,warn_or.json
OR,Peace Health,2023-10-19,463.0,Eugene,,Permanent closure,warn_or.json
OR,Wilsonville Distribution Center,2023-10-18,136.0,Wilsonville,,Permanent closure,warn_or.json
OR,Grace,2023-10-01,23.0,Albany,,Permanent closure,warn_or.json
OR,Grace,2023-10-01,11.0,Albany,,Permanent closure,warn_or.json
OR,Grace,2023-10-01,61.0,Albany,,Permanent closure,warn_or.json
OR,T3281 Store,2023-09-26,40.0,Portland,,Permanent closure,warn_or.json
OR,T3358 Store,2023-09-26,56.0,Portland,,Permanent closure,warn_or.json
OR,T3381 Store,2023-09-26,62.0,Portland,,Permanent closure,warn_or.json
OR,"American Nursery Services, Inc.",2023-09-05,25.0,Newberg,,Permanent closure,warn_or.json
CA,"Divvy Homes, Inc",2023-09-07,94.0,San Francisco,,Reduction,warn_or.json
OR,Walker Rd - Hillsboro,2023-08-22,2.0,Hillsboro,,Reduction,warn_or.json
OR,Walker Rd - Hillsboro,2023-08-22,2.0,Hillsboro,,Reduction,warn_or.json
OR,Bennett St. - Hillsboro,2023-08-22,3.0,Hillsboro,,Reduction,warn_or.json
OR,Walker Rd - Hillsboro,2023-08-22,62.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,Bennett St. - Hillsboro,2023-08-22,2.0,Hillsboro,,Reduction,warn_or.json
OR,Walker Rd - Hillsboro,2023-08-22,3.0,Hillsboro,,Reduction,warn_or.json
OR,Walker Rd - Hillsboro,2023-08-22,1.0,Hillsboro,,Reduction,warn_or.json
OR,Walker Rd - Hillsboro,2023-08-22,1.0,Hillsboro,,Reduction,warn_or.json
OR,Bennett St. - Hillsboro,2023-08-22,71.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,Walker Rd - Hillsboro,2023-08-22,158.0,Hillsboro,,Large Layoff - 10 or more workers,warn_or.json
OR,BOISE CASCADE ELGIN PLYWOOD MILL,2023-08-16,1.0,ELGIN,,Other,warn_or.json
VA,Centerra,2023-08-10,52.0,Herndon,,Permanent closure,warn_or.json
OR,Cascades Tissue Group - St Helens Paper,2023-08-10,72.0,St. Helens,,Permanent closure,warn_or.json
OR,Medford Plant,2023-07-28,18.0,Medford,,Permanent closure,warn_or.json
OR,Medford Plant,2023-07-28,56.0,Medford,,Permanent closure,warn_or.json
OR,Roseburg-509,2023-07-30,72.0,Roseburg,,Permanent closure,warn_or.json
OR,Eugene-506,2023-07-30,15.0,Eugene,,Permanent closure,warn_or.json
OR,DC-25 Portland Distribution Center,2023-07-31,23.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,DC-25 Portland Distribution Center,2023-07-31,78.0,Portland,,Large Layoff - 10 or more workers,warn_or.json
OR,"PBS West, LLC",2023-07-07,50.0,Corvallis,,Large Layoff - 10 or more workers,warn_or.json
OR,"Jacksonville, Remote Employee Location",2023-06-14,1.0,Jacksonville,,Large Layoff - 10 or more workers,warn_or.json
OR,Owens-Brockway Glass Container Inc.,2023-06-13,81.0,Portland,,Reduction,warn_or.json
OR,Marquis Spas,2023-06-08,115.0,Independence,,Permanent closure,warn_or.json
OR,Aimbridge Employee Service Corp AKA Val,2023-06-06,62.0,Eugene,,Large Layoff - 10 or more workers,warn_or.json
CA,Aspiration Partners,2023-05-24,3.0,Marina Del Rey,,Large Layoff - 10 or more workers,warn_or.json
OR,Cascades Tissue Group - St Helens Paper,2023-05-09,45.0,St. Helens,,Large Layoff - 10 or more workers,warn_or.json
OR,"Makita U.S.A., Inc.",2023-04-28,6.0,Portland,,Permanent closure,warn_or.json
OR,Cascades Tissue Group - Scappoose Conve,2023-04-25,88.0,Scappoose,,Permanent closure,warn_or.json
